기업명,산업,주요사업
케이에이,그 외 기타 전자부품 제조업,전자부품(페라이트코아트랜스포머데코램프) 제조/온라인정보 제공/부동산 임대
신한디에스,솔루션·SI·CRM·ERP,프로그램개발 소프트웨어개발 컴퓨터 및 주변기기
건강보험심사평가원,보건 및 복지 행정,진료비 및 약제비 심사 평가
미미박스,뷰티·미용, 화장품
신성통상,직물 도매업,의류악세사리(모자벨트가방) 도매/의류 제조
엘앤에프,축전지 제조업, 2차전지 양극활물질 액정표시장치 제조
엠피씨플러스,그 외 기타 분류 안된 사업지원 서비스업,CRM서비스/CRM솔루션/콜센타관련소프트웨어 개발/텔레마케팅대행시스템구축 서비스/콜센터운영 컨설팅보험대리점
우리홈쇼핑,기타 통신 판매업,홈쇼핑(유선위성방송 인터넷쇼핑몰)/홈쇼핑프로그램 제작
한섬,여자용 겉옷 제조업,여성의류금속 액세서리신발가방선글라스 제조판매
한국산업인력공단,직원훈련기관,국가인적자원개발컨소시엄 지원사업주직업훈련 지원
굿네이버스인터내셔날,협회·단체, 비영리 교육
메리츠화재해상보험,손해 보험업,손해보험(화재해상운송보험)
도쿄일렉트론코리아,반도체 제조용 기계 제조업,반도체액정제조설비 제조/무역/연구개발반도체제조설비관련
이엘씨에이한국,화장품 및 화장용품 도매업,화장품식품 도소매무역통신판매/부동산 전대/메이크업 레슨
엠비씨플레이비,유원지 및 테마파크 운영업,어린이직업체험테마파크전시컨벤션행사 대행평생교육원/서적 인쇄출판/기념품 소매/음식점
삼성웰스토리,음식료·외식·프랜차이즈,-
코오롱인더스트리,합성섬유 제조업,합성섬유재생섬유합성수지필름 제조
그린웹서비스,포털 및 기타 인터넷 정보매개 서비스업,포털인터넷 정보매개영화비디오물방송 프로그램 제작/창작예술
원익아이피에스,반도체 제조용 기계 제조업,반도체 제조용 기계 제조
한화,화약 및 불꽃제품 제조업,화약화공품자동선반류공작기계 제조전자교환기건설정보통신종합무역/임직원 및 개인대상 교육세미나 및 워크샵 중계동영상광고
동진쎄미켐,기타 기초 무기 화학물질 제조업,반도체LCD용재료(감광제봉지제)발포제 제조판매
한진,물류·운송·배송,정기화물자동차 석유판매 전자상거래 택배 국제물류사업
청호나이스,전기·전자·제어,정수기 비데 공기청정기 제조 및 판매
씨에스케이,반도체·디스플레이·광학,반도체 가스정화기 제조
에스케이엠앤서비스,솔루션·SI·CRM·ERP,박정민
한전케이디엔,공기업·공공기관,전력사업과 관련된 SI 및 SM 사업
라인플러스,모바일·APP,모바일 메신저 및 모바일 게임 개발
롯데쇼핑,백화점,백화점(의류식품 및 잡화)할인점 운영/전자상거래
롯데케미칼,석유화학계 기초 화학물질 제조업,폴리프로필렌고밀도폴리에틸렌에틸렌글리콜벤젠에틸렌옥사이드합성지부산물 제조
현대홈쇼핑,기타 통신 판매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작
한국생산성본부,공기업·공공기관,교육용역국내외연수경영컨설팅일반여행소프트웨어 개발자문직업정보제공학술연구용역/출판/서적 도소매/부동산 임대
에드워드코리아,그 외 기타 전자부품 제조업,진공펌프(반도체공정용)가스처리장치 제조도소매수리
웰컴저축은행,은행·금융, 금융/저축은행
한양대학교,학교(초·중·고·대학·특수),교육
씨젠,컴퓨터시스템 통합 자문 및 구축 서비스업,컨설팅시스템 구축/운영토탈 아웃소싱 AI클라우드스마트팩토리 등 IT신기술 기반의 DX사업
동우화인켐,반도체·디스플레이·광학,기타 기초유기화학물질 제조업
한국인터텍테스팅서비스,물질성분 검사 및 분석업, 물질성분 검사
케이씨텍,산업처리공정 제어장비 제조업,반도체용 가스공급장치가스정화기진공펌프반도체용 세정장비N2PLANT 제조판매
대덕전자,인쇄회로기판용 적층판 제조업,PCB(Printed Circuit Board 인쇄회로기판) 제조판매
교보생명보험,서적 신문 및 잡지류 소매업,도서전자학습용품교구 소매/전자상거래/북카페
노랑풍선,호텔·여행·항공,국내ㆍ외 여행상품 판매 / 국내외 항공권 판매
신세계,백화점·유통·도소매,유통사업/ 패션사업/ 식음료 및 호텔사업/ 건설 및 IT 사업
조선호텔앤리조트,호텔업,관광 호텔
한국전기안전공사,기타 엔지니어링 서비스업,전기안전 조사연구기술개발보급계몽홍보
팅크웨어,응용 소프트웨어 개발 및 공급업,소프트웨어 개발(무선인터넷 위치기반텔레매틱스CNSPNSGIS검색엔진)공급/컴퓨터주변기기 도소매/부가통신전자지도 제작
에스엠엔터테인먼트,음악 및 기타 오디오물 출판업,음반(CDMC) 제작/연예 대리
중소벤처기업진흥공단,공기업·공공기관,중소기업 지원
한국과학기술원,대학교,대학교/과학기술 학술연구/부동산 임대
롯데쇼핑-e커머스사업본부,백화점·유통·도소매,백화점(의류식품 및 잡화)할인점 운영/전자상거래
한국교통안전공단,기타 기술 시험 검사 및 분석업,산업재해예방사업부대사업
한국지엠,승용차 및 기타 여객용 자동차 제조업,승용차여객용자동차부품 제조도소매무역/부동산 임대/자동차전문 수리검사대행
넷마블,유선 온라인 게임 소프트웨어 개발 및 공급업,게임소프트웨어 개발공급/게임개발 주식보유관리/전자상거래/비주거용건물 임대
서울대학교,종합 병원,종합 병원
현대글로비스,화물운송 중개 대리 및 관련 서비스업,화물운송주선화물포장자동차 수리/산업용 기계장비 임대
컴투스,게임·애니메이션,모바일 게임 개발 및 퍼블리싱 미디어/엔터테인먼트 제작 및 유통
포스코이앤씨,종합 건설업,국내도급공사해외도급공사자체공사
한미반도체,반도체 제조용 기계 제조업,반도체 후공정장비반도체금형 제조/부동산 매매임대
현대로템,기관차 및 기타 철도차량 제조업,철도차량부품특수중기부품산업기계산업용보일러항공기계부분품 제조판매수출입관련기술용역
에스비에스,지상파 방송업,TV라디오방송광고
나이스평가정보,데이터베이스 및 온라인정보 제공업,데이터베이스온라인정보 제공(개인기업정보 솔루션)
에이에스이코리아,기타 반도체소자 제조업,반도체부품 제조도매
한국가스안전공사,공기업·공공기관,가스시설 및 제품 법정검사 도시가스 공급시설 시공검사
신도리코,사무용 기계 및 장비 제조업,복사기팩시밀리프린터주변기기 제조판매
피알원,광고 대행업,광고홍보 대행지도감독업무/광고물 제작
플레이디,유기발광 표시장치 제조업,첨단 디스플레이(OLED QD LCD) 제조업
세메스,반도체 제조용 기계 제조업,반도체장비FPD장비 제조유지보수/부동산 임대
동원홈푸드,기타 가공식품 도매업,식자재식품첨가물식품세척제 도소매/산업용농축산물산동물 중개담배 소매/가공식품냉동수산물조미료조미식품 제조
한전산업개발,기타 엔지니어링 서비스업,발전설비 정비운전전기검침용역/부동산 임대/태양광공사
한국리서치,시장조사 및 여론조사업,여론 조사마케팅 조사/소프트웨어 개발판매컴퓨터관련 임대
카페베네,음식료·외식·프랜차이즈,커피전문점 프랜차이즈
엘에스엠트론,금속·재료·자재,전기전자 반도체/ 기계 전자부품
지지무역,근무복 작업복 및 유사의복 제조업, 의류 제조
현대엘리베이터,승강기 제조업,엘리베이터에스컬레이터공항공정크린룸병원 물류시스템수배송센터고속소팅시스템주차설비 제조판매보수
휴맥스,비디오 및 기타 영상기기 제조업,비디오 및 기타 영상기기 제조업 & 전장 기기 제조업
이엔에프테크놀로지,그 외 기타 분류 안된 화학제품 제조업,반도체용화학제품(신너) 제조도소매오파무역
파트론,그 외 기타 전자부품 제조업,카메라모듈안테나센서류 등 제조
풀무원식품,기타 가공식품 도매업,식품(두부류생면류나물류냉동류조미류김치류묵류녹즙과채음료건강보조식품) 도매제조/생식품 수출
한국투자증권,증권 중개업,증권투자신탁신탁형증권저축수익증권저축증권투자저축
비즈테크아이,컴퓨터시스템 통합 자문 및 구축 서비스업,전산소프트웨어(ERPBI) 구축개발공급설계도매
인터플렉스,인쇄회로기판용 적층판 제조업,연성인쇄회로기판 제조
일양약품,제약·보건·바이오,전문의약품 일반의약품 원료의약품 건강식품 제조 및 판매
한국장애인고용공단,그 외 기타 비거주 복지 서비스업,장애인의 고용촉진직업 재활직업안정 도모
메가존클라우드,솔루션·SI·CRM·ERP,클라우드 MSP 클라우드 설계 구축 및 인공지능 빅데이터 플랫폼 개발운영
한국전력기술,기타 엔지니어링 서비스업,원자력발전소 설계사업관리기술용역시운전기술지원정보처리전문용역해외발전용역수주/전기공사
한독,완제 의약품 제조업,의약품(소화제크라포란라식스)제조도매/부동산 임대
신세계아이앤씨,컴퓨터시스템 통합 자문 및 구축 서비스업,ITO서비스IT서비스유통모바일사업 등
멀티캠퍼스,직원훈련기관, HRD Total 교육서비스 및 교육컨텐츠 공급/ OPIc 등 국내 및 국제 자격인증사업
셀트리온제약,의약용 화합물 및 항생물질 제조업,기우성/김형기/서진석
락앤락,생활용품·소비재·기타, 주방생활용품 제조 및 판매
롯데건설,종합 건설업,종합공사일반토목공사주택신축판매/신.재생에너지전문기업/통신판매중개/주차관리/부동산 임대대리
그랜드코리아레저,공기업·공공기관,카지노 운영
동국제약,완제 의약품 제조업,의약품(인사돌복합마데카솔오라메디포폴주사)주사제(Prefilled syringe system) 제조도매수입
비에이치,전기·전자·제어,연성인쇄회로기판 제작
서비스탑,물류·운송·배송,화물 운송 중개 대리 및 관련 서비스 업 그 외 기타 운송 관련 서비스업
오씨아이홀딩스,화학·에너지·환경,BTX TDI PCS 카본블랙 타르 피치
하림,가금류 도축업,도축(도계)/육가공품 제조
SK하이닉스,다이오드 트랜지스터 및 유사 반도체소자 제조업,반도체 컴퓨터 통신기기 제조 도매
당근마켓, 하이퍼로컬 커뮤니티 + C2C 전자상거래 + 광고/결제 비즈니스, 동네 직거래 플랫폼 지역 커뮤니티 지역 상점 광고·결제 솔루션
포스코, 제강업, 제강 제철 합금철 코크스 연탄 석유제품 화학물질 화학제품 철강압연 비철금속압연 압출 연신제품 제조
지에스칼텍스, 원유 정제처리업, 정유 윤활유 폴리프로필렌 방향족 석유화학제품 제조 도매 가맹점 인쇄화산업 통신판매/부동산 임대
두산, 지주회사, 지주회사/인쇄회로기판(인쇄회로용동박적층판) 관련전자부품 기계 제조 판매
신한은행, 국내은행, 은행업무 외국환업무 신탁업무
S-Oil, 원유 정제처리업, 석유제품 가스 윤활기유 윤활유 그리스 석유화학제품 제조 도매
KIA, 자동차·조선·철강·항공, 자동차 및 운송수단 제조 및 판매
하나은행, 국내은행, 은행업무 외국환업무 신탁업무
한국타이어, 화학·에너지·환경, 타이어 제조 도소매
크래프톤, 게임·애니메이션, 게임(PC/모바일) 개발
펄어비스, 게임·애니메이션, 게임(PC/모바일) 개발
토스, 모바일·APP, 송금 뱅킹 증권 보험 결제 광고 등 종합 금융 서비스
NHN, 유선 온라인 게임 소프트웨어 개발 및 공급업, 한게임 소프트웨어 개발 공급 온라인정보 전자금융/소프트웨어프로그램 도소매 전자상거래/부동산 임대 전대
카카오뱅크, 국내은행, 국내은행 대부중개/광고 대행
직방, 모바일·APP, 소프트웨어 스마트폰 웹 서비스(소셜네트워크 모바일서비스) 개발 공급
